"PK","SK","appId","attachments","category","clientId","createdAt","createdBy","ctaBubble","faqId","GSI1PK","GSI1SK","GSI2PK","GSI2SK","GSI3PK_elementary","GSI3PK_high","GSI3PK_middle","GSI3PK_preschool","GSI3SK_elementary","GSI3SK_high","GSI3SK_middle","GSI3SK_preschool","isGenerated","mainAttributes","mainBubble","question","sortOrder","status","subBubble","updatedAt","updatedBy"
"CLIENT#MM000002#APP#0001","FAQ#faq_04eda6b13a3b","0001","[]","CAT202511255FB1","MM000002","2025-11-25T12:47:56.864783","system","まずは資料請求や無料相談で、スタートのタイミングをご相談ください！","faq_04eda6b13a3b","CATEGORY#CAT202511255FB1","SORT#00002#STATUS#published","STATUS#published","UPDATED#2025-11-27T12:22:47.556847","","","ATTR#middle","","","","FAQ#faq_04eda6b13a3b","","false","[{""S"":""middle""}]","高校受験対策は、中学2年の終わり〜中学3年のはじめに本格的に始める方が多いです。早めなら中2夏ごろからの準備がおすすめです☀️","高校受験対策はいつから始めるべきですか？","2","published","中2のうちに基礎固めと苦手克服をしておくと、中3では志望校対策に集中できます。名門会では「中2冬〜中3春」でのスタートが最も多いですが、お子さまの学力や志望校に合わせて開始時期をご提案できます🧑‍🏫","2025-11-27T12:22:47.556835","system"
"CLIENT#MM000002#APP#0001","FAQ#faq_0a5b36f85688","0001","[]","CAT202511255FB1","MM000002","2025-11-25T12:51:51.452677","system","まずはご希望の受験校や開始時期について、お気軽にご相談ください😊","faq_0a5b36f85688","CATEGORY#CAT202511255FB1","SORT#00006#STATUS#published","STATUS#published","UPDATED#2025-11-27T11:50:20.655419","ATTR#elementary","","","","FAQ#faq_0a5b36f85688","","","","false","[{""S"":""elementary""}]","もちろん、名門会では中学受験に向けた個別対応が可能です！","中学受験コースはありますか？","6","published","お子様一人ひとりの志望校から逆算したオリジナルのカリキュラムを作成し、学習課題を見極めながら確実に改善していきます。✨ 難関校受験の特別コースも準備しております。","2025-11-27T11:50:20.655407","system"
"CLIENT#MM000002#APP#0001","FAQ#faq_19bc859f6a39","0001","[]","CAT202511255FB1","MM000002","2025-11-25T12:46:37.459086","system","詳しいカリキュラムは無料相談でご相談ください！","faq_19bc859f6a39","CATEGORY#CAT202511255FB1","SORT#00001#STATUS#published","STATUS#published","UPDATED#2025-11-27T12:20:41.950986","","","ATTR#middle","","","","FAQ#faq_19bc859f6a39","","false","[{""S"":""middle""}]","はい、もちろんです！名門会では、中学生向けに 定期テスト対策コース を設けており、定期試験の対策も対応可能です✏️","定期テスト対策はしてもらえますか？","1","published","「単科特別講座」では、1教科・1単元からの受講が可能で、定期テストに出やすい単元や苦手科目を集中的に対策できます。また、「定期テスト対策コース」「内部進学／高校受験対策コース」では、学校の進度や教材に合わせた個別指導が可能です👌","2025-11-27T12:20:41.950976","system"
"CLIENT#MM000002#APP#0001","FAQ#faq_248a45a24445","0001","[]","CAT202511255FB1","MM000002","2025-11-25T12:52:18.288126","system","詳しい指導内容は教室見学や資料請求でご覧いただけます📘","faq_248a45a24445","CATEGORY#CAT202511255FB1","SORT#00007#STATUS#published","STATUS#published","UPDATED#2025-11-27T11:47:05.794980","ATTR#elementary","","","","FAQ#faq_248a45a24445","","","","false","[{""S"":""elementary""}]","はい！名門会では、小学校の授業に合わせた 学校補習（授業フォロー）指導が可能です🧑‍🏫","小学校の授業に合わせた指導は可能ですか？","7","published","学校の授業進度・教材に合わせて指導いたしますので、つまずきやすい単元も個別に立ち止まってしっかり理解を深められます。","2025-11-27T11:47:05.794966","system"
"CLIENT#MM000002#APP#0001","FAQ#faq_3ceeda127595","0001","[]","CAT2025112598A2","MM000002","2025-11-25T12:58:51.246925","system","詳しい時間帯のご案内は資料請求または無料相談でご確認いただけます🙌","faq_3ceeda127595","CATEGORY#CAT2025112598A2","SORT#00009#STATUS#published","STATUS#published","UPDATED#2025-11-27T11:56:32.593372","ATTR#elementary","","","","FAQ#faq_3ceeda127595","","","","false","[{""S"":""elementary""},{""S"":""high""},{""S"":""middle""}]","はい、最寄りの駅前教室またはオンラインでの受講が可能です🏫\n\n","自宅以外でも授業を受けられますか？","9","published","名門会ではご自宅での受講の他、全国主要都市にある37カ所の駅前教室での受講をお選びいただけます。","2025-11-27T12:17:17.990676","system"
"CLIENT#MM000002#APP#0001","FAQ#faq_42a2da81e221","0001","[]","CAT20251125D487","MM000002","2025-11-25T13:06:32.899201","system","無理なく学べるように配慮していますのでご安心ください！","faq_42a2da81e221","CATEGORY#CAT20251125D487","SORT#00010#STATUS#published","STATUS#published","UPDATED#2025-11-27T12:11:22.023306","ATTR#elementary","","","","FAQ#faq_42a2da81e221","","","","false","[{""S"":""elementary""},{""S"":""high""},{""S"":""middle""}]","はい、教材費は別途ご案内しておりますが、教師が選んだ教材をご了承のもとお買い求めいただく場合のみとなります。","教材費はありますか？","10","published",""" 学校指定教材・市販教材・塾や予備校指定教材などでの指導も可能ですので、お気軽にご相談ください。📚""","2025-11-27T12:16:42.810096","system"
"CLIENT#MM000002#APP#0001","FAQ#faq_6e78ed1ea65a","0001","[]","CAT202511255FB1","MM000002","2025-11-27T12:27:58.776423","system","ぜひ無料相談で志望校など詳しくご相談ください🙇‍♀️","faq_6e78ed1ea65a","CATEGORY#CAT202511255FB1","SORT#00012#STATUS#published","STATUS#published","UPDATED#2025-11-27T12:28:11.492086","","ATTR#high","","","","FAQ#faq_6e78ed1ea65a","","","false","[{""S"":""high""}]","名門会には、医学部専門の 「医学部受験コース」 があり、国公立・私立すべての医学部に対応した個別指導を受けられます🧑‍🏫","医学部受験コースについて教えてください","12","published","医学部受験に精通した講師が、英語・数学・理科2科目（物理／化学／生物）を1対1で指導します。個別カリキュラムを作成し、共通テスト対策、二次試験対策、小論文・面接対策まで一貫してサポートさせていただきます。","2025-11-27T12:28:11.492071","system"
"CLIENT#MM000002#APP#0001","FAQ#faq_80ad52683f12","0001","[]","CAT202511255FB1","MM000002","2025-11-25T12:48:45.959460","system","ご興味がございましたら、ぜひ無料相談へお越しください🙇‍♀️","faq_80ad52683f12","CATEGORY#CAT202511255FB1","SORT#00003#STATUS#published","STATUS#published","UPDATED#2025-11-27T12:25:24.891307","","ATTR#high","","","","FAQ#faq_80ad52683f12","","","false","[{""S"":""high""}]","はい！名門会には、難関大学受験専門の指導コースがあり、東大・京大・医学部など最難関レベルまで対応しています🔥","難関大学向けの指導はありますか？","3","published","「難関大受験対策」「医学部専門指導」「推薦・総合型選抜対策」などのコースで実際の入試問題の傾向に合わせ、科目ごとにトップレベルの担当教師が1対1で指導します。","2025-11-27T12:25:24.891296","system"
"CLIENT#MM000002#APP#0001","FAQ#faq_8140ffd91a63","0001","[]","CAT202511255FB1","MM000002","2025-11-25T12:53:43.836215","system","ご不安な方は、まずは無料相談にお越しください😊","faq_8140ffd91a63","CATEGORY#CAT202511255FB1","SORT#00009#STATUS#published","STATUS#published","UPDATED#2025-11-27T12:23:35.818031","","","ATTR#middle","","","","FAQ#faq_8140ffd91a63","","false","[{""S"":""middle""}]","はい、担任が日々の学習状況を見守っているので、宿題の進み具合や理解度もばっちり把握しています🧑‍🏫","宿題や課題のフォローはありますか？","9","published","わからないところはすぐ質問OK！自習スペースでもサポートを受けられます✨","2025-11-27T12:23:35.818019","system"
"CLIENT#MM000002#APP#0001","FAQ#faq_8261369c522a","0001","[]","CAT2025112598A2","MM000002","2025-11-25T12:59:16.062414","system","塾の規約なども無料相談で詳しくご案内いたします！","faq_8261369c522a","CATEGORY#CAT2025112598A2","SORT#00010#STATUS#published","STATUS#published","UPDATED#2025-11-27T11:59:37.809874","ATTR#elementary","","","","FAQ#faq_8261369c522a","","","","false","[{""S"":""elementary""},{""S"":""high""},{""S"":""middle""}]","もちろんです。事前にご連絡いただければ、授業の変更・キャンセルに対応できます🙆","授業のキャンセルや変更は可能ですか？","10","published","他生徒の授業状況などを踏まえて、担当教師が調整を行います。振替希望日時を前日までにご連絡ください。ただし、当日のキャンセルは受講料が発生しますのでご注意を⚠️","2025-11-27T12:18:22.574534","system"
"CLIENT#MM000002#APP#0001","FAQ#faq_916ffa7f7594","0001","[]","CAT202511255FB1","MM000002","2025-11-26T11:06:29.056575","system","さらに詳しいカリキュラムや料金をご希望の場合は、資料請求や教室での無料相談をご案内できます。","faq_916ffa7f7594","CATEGORY#CAT202511255FB1","SORT#00010#STATUS#published","STATUS#published","UPDATED#2025-11-27T11:39:15.306311","ATTR#elementary","","","","FAQ#faq_916ffa7f7594","","","","false","[{""S"":""elementary""}]","名門会の中学受験対策は、基礎〜難関まで対応する個別指導コースが中心で、志望校別や最難関向けの特別コースがあります✏️","中学受験対策はどのようなコースがありますか？","10","published","主なコースは「志望校対策講座（1対1）」「単科特別講座」などです。科目別指導・苦手克服など、実力や目的に合わせて柔軟にご対応可能です🙆","2025-11-27T11:39:15.306299","system"
"CLIENT#MM000002#APP#0001","FAQ#faq_da096db921f6","0001","[]","CAT2025112598A2","MM000002","2025-11-25T12:58:20.816913","system","まずはスケジュールのご希望を無料相談でご相談ください☺️","faq_da096db921f6","CATEGORY#CAT2025112598A2","SORT#00008#STATUS#published","STATUS#published","UPDATED#2025-11-27T11:50:57.085483","ATTR#elementary","","","","FAQ#faq_da096db921f6","","","","false","[{""S"":""elementary""},{""S"":""high""},{""S"":""middle""}]","はい、多くの生徒が部活や習い事と両立しながら受講しています！","部活や他の習い事と両立できますか？","8","published","通う曜日や時間帯は柔軟に設定でき、学習時間も無理のない範囲で調整できます🗓️","2025-11-27T12:18:10.969032","system"
"CLIENT#MM000002#APP#0001","FAQ#faq_df5ba8ab7701","0001","[]","CAT20251125D487","MM000002","2025-11-25T13:06:05.783236","system","詳しい料金制度に関しては無料相談でお気軽にご相談ください😊","faq_df5ba8ab7701","CATEGORY#CAT20251125D487","SORT#00009#STATUS#published","STATUS#published","UPDATED#2025-11-27T12:14:57.702771","ATTR#elementary","","","","FAQ#faq_df5ba8ab7701","","","","false","[{""S"":""elementary""},{""S"":""high""},{""S"":""middle""}]","いいえ。名門会では、兄弟で通う場合の「授業料割引」はございません🙇‍♀️","兄弟で通うと割引はありますか？","9","published","ただし、割引がまったくないわけではなく、入会金は「1家庭につき1回のみ」のお支払いで、兄弟で通う場合は二人目以降の入会金は免除されます👌","2025-11-27T12:16:31.145159","system"
"CLIENT#MM000002#APP#0001","FAQ#faq_ed657ea4fd75","0001","[]","CAT20251125D487","MM000002","2025-11-26T14:34:44.710297","system","無料相談で詳しくご案内させていただきますので、ぜひお問い合わせください。","faq_ed657ea4fd75","CATEGORY#CAT20251125D487","SORT#00013#STATUS#published","STATUS#published","UPDATED#2025-11-26T14:57:35.700713","ATTR#elementary","","","","FAQ#faq_ed657ea4fd75","","","","false","[{""S"":""elementary""},{""S"":""high""},{""S"":""middle""}]","名門会は完全個別指導のため、お子さまの学年・目的（補習・中学受験）・講師のタイプによって料金が異なります。🙇‍♀️","小学生の授業料はいくらですか？","13","published","""月々のお支払いは、入会金（33,000円）・受講料・通信費で構成されており、教室指導の場合は教室維持費が加わります。受講料はコース等によって異なるので私からは正確にお伝えすることはできません😢""","2025-11-27T12:16:50.338035","system"
